No.44,天空之城 天空の城ラピュタ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,9.1,696361
No.45,天堂电影院 Nuovo Cinema Paradiso,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,9.2,573565
No.46,闻香识女人 Scent of a Woman,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,9.1,715602
No.47,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,9.1,618319
No.48,罗马假日 Roman Holiday,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,9.0,809346
No.49,猫鼠游戏 Catch Me If You Can,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,9.1,750196
No.50,辩护人 변호인,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,9.2,504458
No.51,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2640234840.jpg,9.1,703237
No.52,大闹天宫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,9.4,345430
No.53,钢琴家 The Pianist,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,9.2,466216
No.54,狮子王 The Lion King,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,9.1,687565
No.55,教父2 The Godfather: Part Ⅱ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,9.2,439715
No.56,死亡诗社 Dead Poets Society,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,9.1,578825
No.57,搏击俱乐部 Fight Club,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,9.0,710356
No.58,让子弹飞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,8.9,1361448
No.59,黑客帝国 The Matrix,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,9.1,669359
No.60,绿皮书 Green Book,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,8.9,1302024
No.61,饮食男女 飲食男女,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,9.1,492821
No.62,海蒂和爷爷 Heidi,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,9.2,389127
No.63,美丽心灵 A Beautiful Mind,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,9.0,632840
No.64,窃听风暴 Das Leben der Anderen,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,9.2,467241
No.65,本杰明·巴顿奇事 The Curious Case of Benjamin Button,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,8.9,820407
